tag,label
action,3
adventure,3
aliens,0
animation,0
art house,3
artistic,2
atmospheric,2
bittersweet,2
boring,2
christmas,0
comedy,3
comic book,0
culture clash,1
cyberpunk,1
disturbing,2
documentary,3
drama,3
drugs,0
dystopia,1
end of the world,1
environmental,1
existentialism,1
fantasy,3
film noir,3
funny,2
futuristic,1
great soundtrack,2
hallucinatory,1
hilarious,2
historical,3
holocaust,0
horror,3
humorous,2
india,0
insanity,1
inspirational,2
justice,1
mafia,0
martial arts,0
mockumentary,3
musical,3
mystery,3
nonlinear,0
original,2
overrated,2
philosophical,1
pirates,0
plot twist,1
predictable,2
prison,0
psychological,1
quirky,2
religion,0
robots,0
romance,3
satire,3
sci-fi,3
self discovery,1
serial killer,0
social commentary,1
space,0
steampunk,1
stupid,2
stylized,2
superhero,0
surreal,2
suspense,1
tense,2
thought-provoking,2
thriller,3
time travel,0
twist ending,1
twists & turns,1
unique,2
violence,0
visually appealing,2
war,0
western,3
witty,2
world war ii,0
